ID,Aboard Ing Address,Aboard Ing Lat,Aboard Ing Lng,Approaching At,Arriving At,Charge ID,Created At,Deleted At,Destination,Destination Lat,Destination Lng,Done At,Driving At,Is Notified Before Pick Up,Label,Manager ID,Order Able ID,Order Able Type,Pick Up At,Reservation Number,Updated At
1,沖縄県中頭郡西原町棚原,26.243795,127.7523346,,,,2020-01-13T12:34:17Z,2020-01-13T12:34:23Z,指定なし,,,,,false,代行予約,,16,App\Entities\Supporter,,1,2020-01-13T12:34:23Z
2,沖縄県沖縄市胡屋４丁目１番１４号,26.3320371,127.7989692,,,,2020-01-14T01:39:22Z,2020-01-14T01:39:38Z,那覇市安里,,,,,false,テーブル01,,0,App\Entities\Supporter,,1,2020-01-14T01:39:38Z
3,沖縄県沖縄市胡屋４丁目１番１４号,26.3320371,127.7989692,,,,2020-01-14T01:39:22Z,2020-01-14T04:13:23Z,宜野湾市役所前,,,,,false,テーブル01,,0,App\Entities\Supporter,,1,2020-01-14T04:13:23Z
4,沖縄県沖縄市胡屋４丁目１番１４号,26.3320371,127.7989692,,,,2020-01-14T04:13:31Z,2020-01-14T04:13:35Z,,,,,,false,代行予約,,0,App\Entities\Supporter,,2,2020-01-14T04:13:35Z
5,沖縄県中頭郡西原町棚原,26.243795,127.7523346,,,,2020-01-14T05:21:22Z,2020-01-14T10:11:37Z,指定なし,,,,,false,代行予約,,16,App\Entities\Supporter,,2,2020-01-14T05:21:22Z
6,沖縄県中頭郡西原町棚原,26.243795,127.7523346,,,,2020-01-14T05:21:22Z,2020-01-14T05:29:37Z,指定なし,,,,,false,代行予約,,16,App\Entities\Supporter,,2,2020-01-14T05:29:37Z
7,沖縄県中頭郡西原町棚原,26.243795,127.7523346,,,,2020-01-14T05:21:22Z,2020-01-14T05:22:03Z,指定なし,,,,,false,代行予約,,16,App\Entities\Supporter,,2,2020-01-14T05:22:03Z
8,沖縄県中頭郡西原町棚原,26.243795,127.7523346,,,,2020-01-14T05:21:22Z,2020-01-14T05:21:59Z,指定なし,,,,,false,代行予約,,16,App\Entities\Supporter,,2,2020-01-14T05:21:59Z
9,沖縄県沖縄市胡屋４丁目１番１４号,26.3320371,127.7989692,,,,2020-01-14T05:26:11Z,2020-01-14T05:26:18Z,,,,,,false,代行予約,,0,App\Entities\Supporter,,3,2020-01-14T05:26:18Z
10,沖縄県沖縄市中央3丁目13番15号,26.338292,127.8015205,,,,2020-01-14T09:47:58Z,2020-01-14T09:48:19Z,,,,,,false,代行予約,,14,App\Entities\Supporter,,1,2020-01-14T09:48:19Z
11,沖縄県沖縄市中央3丁目13番15号,26.338292,127.8015205,,,,2020-01-14T10:00:14Z,2020-01-14T10:01:27Z,,,,,,false,テスト,,14,App\Entities\Supporter,,2,2020-01-14T10:01:27Z
12,沖縄県沖縄市中央3丁目13番15号,26.338292,127.8015205,,,1,2020-01-14T10:18:51Z,,那覇おもろまち,,,2020-01-14T10:56:41Z,2020-01-14T10:35:21Z,true,テーブル6,1,14,App\Entities\Supporter,2020-01-14T10:24:56Z,3,2020-02-03T03:53:16Z
13,沖縄県沖縄市中央3丁目13番15号,26.338292,127.8015205,,,1,2020-01-14T11:03:34Z,,一番街,,,2020-01-14T13:16:01Z,2020-01-14T11:31:15Z,true,代行予約,1,14,App\Entities\Supporter,2020-01-14T11:09:40Z,4,2020-02-03T03:53:16Z
14,沖縄県浦添市当山2-9-3,26.2486414,127.7377316,,,,2020-01-14T11:49:52Z,2020-01-14T11:54:31Z,,,,,,false,10,,13,App\Entities\Supporter,,1,2020-01-14T11:54:31Z
15,沖縄県浦添市当山2-9-3,26.2486414,127.7377316,,,,2020-01-14T11:49:52Z,2020-01-14T11:54:29Z,,,,,,false,10,,13,App\Entities\Supporter,,1,2020-01-14T11:54:29Z
16,沖縄県浦添市当山2-9-3,26.2486414,127.7377316,,,,2020-01-14T13:08:30Z,2020-01-14T13:08:39Z,,,,,,false,ともる,,13,App\Entities\Supporter,,2,2020-01-14T13:08:39Z
17,沖縄県那覇市長田1-20-15,26.2025118,127.7003824,,,,2020-01-15T11:56:29Z,2020-01-15T12:07:44Z,宜野湾,,,,,false,代行予約,,11,App\Entities\Supporter,,1,2020-01-15T12:07:44Z
18,沖縄県那覇市長田1-20-15,26.2025118,127.7003824,,,,2020-01-15T11:56:29Z,2020-01-15T12:07:46Z,つかざん,,,,,false,代行予約,,11,App\Entities\Supporter,,1,2020-01-15T12:07:46Z
19,沖縄県中頭郡西原町棚原,26.243795,127.7523346,,,,2020-01-16T07:32:57Z,2020-01-16T07:33:02Z,指定なし,,,,,false,代行予約,,16,App\Entities\Supporter,,3,2020-01-16T07:33:02Z
20,沖縄県中頭郡西原町棚原,26.243795,127.7523346,,,,2020-01-16T09:15:02Z,2020-01-16T09:15:07Z,指定なし,,,,,false,代行予約,,16,App\Entities\Supporter,,4,2020-01-16T09:15:07Z
21,沖縄県浦添市当山2-9-3,26.2486414,127.7377316,,,,2020-01-16T11:30:34Z,2020-01-16T11:31:53Z,,,,,,false,8,,13,App\Entities\Supporter,,3,2020-01-16T11:31:53Z
22,沖縄県浦添市当山2-9-3,26.2486414,127.7377316,,,,2020-01-16T11:30:34Z,2020-01-16T11:31:50Z,,,,,,false,8,,13,App\Entities\Supporter,,3,2020-01-16T11:31:50Z
23,沖縄県那覇市赤嶺2-4-1當間ビル1F,26.1937975,127.6618104,,,,2020-01-16T12:22:39Z,2020-01-16T12:23:57Z,,,,,,false,代行予約,,1,App\Entities\Supporter,,1,2020-01-16T12:23:57Z
24,沖縄県那覇市赤嶺2-4-1當間ビル1F,26.1937975,127.6618104,,,,2020-01-16T12:24:02Z,2020-01-17T07:21:20Z,,,,,,false,代行予約,,1,App\Entities\Supporter,,2,2020-01-17T07:21:20Z
25,沖縄県沖縄市胡屋４丁目１番１４号,26.3320371,127.7989692,,,,2020-01-17T02:47:16Z,2020-01-17T02:48:54Z,那覇,,,,,false,代行予約,,0,App\Entities\Supporter,,4,2020-01-17T02:48:54Z
26,沖縄県沖縄市胡屋４丁目１番１４号,26.3320371,127.7989692,,,,2020-01-17T02:49:23Z,2020-01-17T02:50:35Z,指定なし,,,,,false,代行予約,,0,App\Entities\Supporter,,5,2020-01-17T02:50:35Z
27,沖縄県沖縄市胡屋４丁目１番１４号,26.3320371,127.7989692,,,,2020-01-17T04:50:31Z,2020-01-17T04:50:50Z,指定なし,,,,,false,代行予約,,0,App\Entities\Supporter,,6,2020-01-17T04:50:50Z
28,沖縄県浦添市内間2-7-7,26.2366518,127.7066157,,,,2020-01-17T05:13:27Z,2020-01-17T05:13:39Z,,,,,,false,代行予約,,31,App\Entities\Supporter,,1,2020-01-17T05:13:39Z
29,沖縄県沖縄市胡屋４丁目１番１４号,26.3320371,127.7989692,,,,2020-01-17T07:12:32Z,2020-01-17T07:13:53Z,ぞーくす,,,,,false,てすと,,0,App\Entities\Supporter,,7,2020-01-17T07:13:53Z
30,沖縄県浦添市内間2-7-7,26.2366518,127.7066157,,,,2020-01-17T07:56:29Z,2020-01-17T07:56:44Z,,,,,,false,代行予約,,31,App\Entities\Supporter,,2,2020-01-17T07:56:44Z
